Age	L	M	S	Gender
-0.134	0.22	9.465	0.10742	1
-0.115	0.132	10.172	0.10456	1
-0.096	0.055	10.801	0.10202	1
-0.077	-0.014	11.376	0.09975	1
-0.057	-0.076	11.906	0.0977	1
-0.038	-0.133	12.397	0.09583	1
-0.019	-0.186	12.853	0.09413	1
0	-0.233	13.281	0.09258	1
0.083	-0.398	14.953	0.08721	1
0.167	-0.512	16.137	0.08362	1
0.25	-0.589	16.844	0.0813	1
0.333	-0.641	17.258	0.07985	1
0.417	-0.676	17.51	0.07895	1
0.5	-0.698	17.666	0.07837	1
0.583	-0.711	17.758	0.07798	1
0.667	-0.718	17.798	0.07771	1
0.75	-0.72	17.797	0.07752	1
0.833	-0.72	17.763	0.0774	1
0.917	-0.718	17.709	0.07734	1
1	-0.717	17.644	0.07735	1
1.083	-0.716	17.572	0.07742	1
1.167	-0.716	17.492	0.07755	1
1.25	-0.718	17.406	0.07772	1
1.333	-0.721	17.316	0.07791	1
1.417	-0.726	17.223	0.07811	1
1.5	-0.733	17.131	0.07829	1
1.583	-0.742	17.04	0.07846	1
1.667	-0.753	16.953	0.07859	1
1.75	-0.766	16.87	0.07869	1
1.833	-0.781	16.793	0.07875	1
1.917	-0.797	16.721	0.07878	1
2	-0.814	16.655	0.07879	1
2.083	-0.832	16.595	0.07878	1
2.167	-0.851	16.539	0.07876	1
2.25	-0.871	16.488	0.07871	1
2.333	-0.891	16.441	0.07865	1
2.417	-0.912	16.397	0.07858	1
2.5	-0.933	16.355	0.07849	1
2.583	-0.954	16.315	0.07838	1
2.667	-0.975	16.276	0.07827	1
2.75	-0.996	16.239	0.07814	1
2.833	-1.018	16.203	0.078	1
2.917	-1.039	16.168	0.07786	1
3	-1.06	16.133	0.07772	1
3.083	-1.08	16.099	0.07758	1
3.167	-1.101	16.065	0.07744	1
3.25	-1.121	16.031	0.07731	1
3.333	-1.141	15.997	0.0772	1
3.417	-1.161	15.963	0.0771	1
3.5	-1.181	15.93	0.07701	1
3.583	-1.2	15.898	0.07694	1
3.667	-1.219	15.867	0.07688	1
3.75	-1.237	15.836	0.07684	1
3.833	-1.256	15.807	0.07682	1
3.917	-1.273	15.779	0.07682	1
