Age	L	M	S	Gender
-0.287474332648871	1	35.42414	0.08132453	1
-0.268309377138946	1	36.42492	0.07862004	1
-0.249144421629021	1	37.42772	0.07590725	1
-0.229979466119096	1	38.42789	0.07314432	1
-0.210814510609172	1	39.43673	0.07025966	1
-0.191649555099247	1	40.48008	0.06722238	1
-0.172484599589322	1	41.57838	0.06404407	1
-0.153319644079398	1	42.71663	0.06080197	1
-0.134154688569473	1	43.87082	0.05758883	1
-0.114989733059548	1	45.01804	0.05449291	1
-0.095824777549624	1	46.1415	0.05158876	1
-0.076659822039699	1	47.23352	0.04895293	1
-0.057494866529774	1	48.28677	0.0466417	1
-0.03832991101985	1	49.2766	0.04469878	1
-0.019164955509925	1	50.16595	0.04315059	1
0	1	50.94454	0.04197628	1
0.019164955509925	1	51.64579	0.04100319	1
0.03832991101985	1	52.30513	0.03994391	1
0.03832991101985	1	52.3461	0.03652	1
0.057494866529774	1	53.3905	0.03609	1
0.076659822039699	1	54.3881	0.0357	1
0.083333333333333	1	54.7244	0.03557	1
0.095824777549624	1	55.3374	0.03534	1
0.114989733059548	1	56.2357	0.03501	1
0.134154688569473	1	57.0851	0.0347	1
0.153319644079398	1	57.8889	0.03442	1
0.166666666666667	1	58.4249	0.03424	1
0.172484599589322	1	58.6536	0.03416	1
0.191649555099247	1	59.3872	0.03392	1
0.210814510609172	1	60.0894	0.03369	1
0.229979466119096	1	60.7605	0.03348	1
0.249144421629021	1	61.4013	0.03329	1
0.25	1	61.4292	0.03328	1
0.333333333333333	1	63.886	0.03257	1
0.416666666666667	1	65.9026	0.03204	1
0.5	1	67.6236	0.03165	1
0.583333333333333	1	69.1645	0.03139	1
0.666666666666667	1	70.5994	0.03124	1
0.75	1	71.9687	0.03117	1
0.833333333333333	1	73.2812	0.03118	1
0.916666666666667	1	74.5388	0.03125	1
1	1	75.7488	0.03137	1
1.08333333333333	1	76.9186	0.03154	1
1.16666666666667	1	78.0497	0.03174	1
1.25	1	79.1458	0.03197	1
1.33333333333333	1	80.2113	0.03222	1
1.41666666666667	1	81.2487	0.0325	1
1.5	1	82.2587	0.03279	1
1.58333333333333	1	83.2418	0.0331	1
1.66666666666667	1	84.1996	0.03342	1
1.75	1	85.1348	0.03376	1
1.83333333333333	1	86.0477	0.0341	1
1.91666666666667	1	86.941	0.03445	1
2	1	87.8161	0.03479	1
2	1	87.1161	0.03507	1
2.08333333333333	1	87.972	0.03542	1
2.16666666666667	1	88.8065	0.03576	1
2.25	1	89.6197	0.0361	1
2.33333333333333	1	90.412	0.03642	1
2.41666666666667	1	91.1828	0.03674	1
2.5	1	91.9327	0.03704	1
2.58333333333333	1	92.6631	0.03733	1
2.66666666666667	1	93.3753	0.03761	1
2.75	1	94.0711	0.03787	1
2.83333333333333	1	94.7532	0.03812	1
2.91666666666667	1	95.4236	0.03836	1
3	1	96.0835	0.03858	1
3.08333333333333	1	96.7337	0.03879	1
3.16666666666667	1	97.3749	0.039	1
3.25	1	98.0073	0.03919	1
3.33333333333333	1	98.631	0.03937	1
3.41666666666667	1	99.2459	0.03954	1
3.5	1	99.8515	0.03971	1
3.58333333333333	1	100.4485	0.03986	1
3.66666666666667	1	101.0374	0.04002	1
3.75	1	101.6186	0.04016	1
3.83333333333333	1	102.1933	0.04031	1
3.91666666666667	1	102.7625	0.04045	1
