Age	L	M	S	Gender
-0.326	1	21.559	0.05522	1
-0.307	1	22.704	0.05363	1
-0.287	1	23.787	0.05212	1
-0.268	1	24.815	0.05069	1
-0.249	1	25.792	0.04932	1
-0.23	1	26.717	0.04802	1
-0.211	1	27.591	0.04677	1
-0.192	1	28.42	0.04557	1
-0.172	1	29.21	0.04443	1
-0.153	1	29.952	0.04335	1
-0.134	1	30.693	0.04227	1
-0.115	1	31.394	0.04126	1
-0.096	1	32.072	0.0403	1
-0.077	1	32.729	0.03939	1
-0.057	1	33.37	0.03852	1
-0.038	1	33.995	0.03769	1
-0.019	1	34.606	0.03691	1
0	1	35.204	0.03616	1
0.083	1	37.638	0.03336	1
0.167	1	39.679	0.03118	1
0.25	1	41.293	0.02949	1
0.333	1	42.57	0.02822	1
0.417	1	43.611	0.02727	1
0.5	1	44.495	0.02657	1
0.583	1	45.246	0.02607	1
0.667	1	45.888	0.02572	1
0.75	1	46.439	0.02548	1
0.833	1	46.915	0.02534	1
0.917	1	47.33	0.02525	1
1	1	47.696	0.02522	1
1.083	1	48.018	0.02523	1
1.167	1	48.303	0.02526	1
1.25	1	48.567	0.02532	1
1.333	1	48.802	0.02539	1
1.417	1	49.022	0.02547	1
1.5	1	49.227	0.02556	1
1.583	1	49.417	0.02566	1
1.667	1	49.596	0.02576	1
1.75	1	49.764	0.02587	1
1.833	1	49.922	0.02598	1
1.917	1	50.072	0.02608	1
2	1	50.217	0.02619	1
2.083	1	50.353	0.0263	1
2.167	1	50.482	0.02641	1
2.25	1	50.605	0.02651	1
2.333	1	50.719	0.02662	1
2.417	1	50.829	0.02672	1
2.5	1	50.938	0.02682	1
2.583	1	51.038	0.02691	1
2.667	1	51.133	0.027	1
2.75	1	51.223	0.02709	1
2.833	1	51.308	0.02717	1
2.917	1	51.389	0.02725	1
3	1	51.471	0.02733	1
3.083	1	51.546	0.02741	1
3.167	1	51.618	0.02748	1
3.25	1	51.688	0.02756	1
3.333	1	51.753	0.02762	1
3.417	1	51.818	0.02769	1
3.5	1	51.881	0.02775	1
3.583	1	51.941	0.02781	1
3.667	1	52	0.02787	1
3.75	1	52.056	0.02793	1
3.833	1	52.11	0.02798	1
3.917	1	52.164	0.02804	1
4	1	52.215	0.02809	1
4.083	1	52.266	0.02813	1
4.167	1	52.315	0.02818	1
4.25	1	52.362	0.02822	1
4.333	1	52.409	0.02827	1
4.417	1	52.455	0.02831	1
4.5	1	52.499	0.02835	1
4.583	1	52.543	0.02839	1
4.667	1	52.585	0.02842	1
4.75	1	52.626	0.02846	1
4.833	1	52.667	0.02849	1
4.917	1	52.708	0.02852	1
5	1	52.747	0.02855	1
5.083	1	52.786	0.02858	1
5.167	1	52.823	0.02861	1
5.25	1	52.86	0.02864	1
5.333	1	52.896	0.02867	1
5.417	1	52.932	0.02869	1
5.5	1	52.967	0.02872	1
5.583	1	53.002	0.02874	1
5.667	1	53.036	0.02876	1
5.75	1	53.07	0.02878	1
5.833	1	53.103	0.0288	1
5.917	1	53.136	0.02883	1
6	1	53.168	0.02884	1
6.083	1	53.2	0.02886	1
6.167	1	53.232	0.02888	1
6.25	1	53.264	0.0289	1
6.333	1	53.294	0.02892	1
6.417	1	53.325	0.02893	1
6.5	1	53.356	0.02895	1
6.583	1	53.387	0.02896	1
6.667	1	53.416	0.02898	1
6.75	1	53.446	0.02899	1
6.833	1	53.476	0.029	1
6.917	1	53.505	0.02902	1
7	1	53.534	0.02903	1
7.083	1	53.563	0.02904	1
7.167	1	53.591	0.02905	1
7.25	1	53.62	0.02907	1
7.333	1	53.649	0.02908	1
7.417	1	53.676	0.02909	1
7.5	1	53.704	0.0291	1
7.583	1	53.732	0.02911	1
7.667	1	53.76	0.02912	1
7.75	1	53.787	0.02913	1
7.833	1	53.814	0.02914	1
7.917	1	53.841	0.02915	1
8	1	53.867	0.02916	1
8.083	1	53.893	0.02917	1
8.167	1	53.92	0.02918	1
8.25	1	53.946	0.02919	1
8.333	1	53.972	0.0292	1
8.417	1	53.998	0.02921	1
8.5	1	54.024	0.02922	1
8.583	1	54.05	0.02923	1
8.667	1	54.076	0.02924	1
8.75	1	54.101	0.02925	1
8.833	1	54.126	0.02926	1
8.917	1	54.152	0.02926	1
9	1	54.178	0.02927	1
9.083	1	54.203	0.02928	1
9.167	1	54.229	0.02929	1
9.25	1	54.254	0.0293	1
9.333	1	54.279	0.02931	1
9.417	1	54.305	0.02932	1
9.5	1	54.33	0.02933	1
9.583	1	54.355	0.02933	1
9.667	1	54.38	0.02934	1
9.75	1	54.406	0.02935	1
9.833	1	54.431	0.02936	1
9.917	1	54.457	0.02937	1
10	1	54.482	0.02938	1
10.083	1	54.507	0.02938	1
10.167	1	54.533	0.02939	1
10.25	1	54.558	0.0294	1
10.333	1	54.584	0.02941	1
10.417	1	54.61	0.02942	1
10.5	1	54.635	0.02943	1
10.583	1	54.661	0.02943	1
10.667	1	54.687	0.02944	1
10.75	1	54.713	0.02945	1
10.833	1	54.74	0.02946	1
10.917	1	54.766	0.02946	1
11	1	54.793	0.02947	1
11.083	1	54.82	0.02948	1
11.167	1	54.846	0.02949	1
11.25	1	54.874	0.02949	1
11.333	1	54.902	0.0295	1
11.417	1	54.929	0.02951	1
11.5	1	54.956	0.02952	1
11.583	1	54.984	0.02952	1
11.667	1	55.012	0.02953	1
11.75	1	55.04	0.02954	1
11.833	1	55.069	0.02955	1
11.917	1	55.098	0.02955	1
12	1	55.126	0.02956	1
12.083	1	55.155	0.02957	1
12.167	1	55.184	0.02957	1
12.25	1	55.214	0.02958	1
12.333	1	55.243	0.02959	1
12.417	1	55.272	0.02959	1
12.5	1	55.302	0.0296	1
12.583	1	55.332	0.02961	1
12.667	1	55.362	0.02961	1
12.75	1	55.392	0.02962	1
12.833	1	55.422	0.02963	1
12.917	1	55.453	0.02963	1
13	1	55.484	0.02964	1
13.083	1	55.514	0.02964	1
13.167	1	55.546	0.02965	1
13.25	1	55.576	0.02966	1
13.333	1	55.608	0.02966	1
13.417	1	55.639	0.02967	1
13.5	1	55.67	0.02967	1
13.583	1	55.701	0.02968	1
13.667	1	55.732	0.02969	1
13.75	1	55.764	0.02969	1
13.833	1	55.795	0.0297	1
13.917	1	55.827	0.0297	1
14	1	55.858	0.02971	1
14.083	1	55.889	0.02971	1
14.167	1	55.921	0.02972	1
14.25	1	55.953	0.02972	1
14.333	1	55.983	0.02973	1
14.417	1	56.014	0.02973	1
14.5	1	56.046	0.02974	1
14.583	1	56.077	0.02974	1
14.667	1	56.108	0.02975	1
14.75	1	56.139	0.02975	1
14.833	1	56.17	0.02976	1
14.917	1	56.201	0.02976	1
15	1	56.232	0.02977	1
15.083	1	56.262	0.02977	1
15.167	1	56.293	0.02978	1
15.25	1	56.324	0.02978	1
15.333	1	56.354	0.02979	1
15.417	1	56.384	0.02979	1
15.5	1	56.414	0.0298	1
15.583	1	56.444	0.0298	1
15.667	1	56.474	0.0298	1
15.75	1	56.503	0.02981	1
15.833	1	56.533	0.02981	1
15.917	1	56.562	0.02982	1
16	1	56.591	0.02982	1
16.083	1	56.621	0.02983	1
16.167	1	56.65	0.02983	1
16.25	1	56.679	0.02984	1
16.333	1	56.707	0.02984	1
16.417	1	56.736	0.02984	1
16.5	1	56.764	0.02985	1
16.583	1	56.792	0.02985	1
16.667	1	56.821	0.02985	1
16.75	1	56.849	0.02986	1
16.833	1	56.876	0.02986	1
16.917	1	56.904	0.02987	1
17	1	56.932	0.02987	1
17.083	1	56.96	0.02987	1
17.167	1	56.987	0.02988	1
17.25	1	57.014	0.02988	1
17.333	1	57.041	0.02989	1
17.417	1	57.068	0.02989	1
17.5	1	57.095	0.02989	1
17.583	1	57.121	0.0299	1
17.667	1	57.148	0.0299	1
17.75	1	57.174	0.0299	1
17.833	1	57.201	0.02991	1
17.917	1	57.227	0.02991	1
18	1	57.26	0.02991	1
