Age	L	M	S	Gender
-0.326	1.181	0.5845	0.17211	1
-0.307	1.161	0.695	0.17035	1
-0.287	1.14	0.8067	0.16859	1
-0.268	1.12	0.9216	0.1668	1
-0.249	1.099	1.0419	0.16497	1
-0.23	1.078	1.1705	0.16309	1
-0.211	1.055	1.3105	0.16114	1
-0.192	1.032	1.4645	0.15911	1
-0.172	1.008	1.6352	0.15701	1
-0.153	0.983	1.8227	0.15484	1
-0.134	0.957	2.0251	0.15261	1
-0.115	0.931	2.2392	0.15035	1
-0.096	0.904	2.4608	0.14806	1
-0.077	0.877	2.686	0.14576	1
-0.057	0.85	2.9106	0.14348	1
-0.038	0.823	3.1307	0.14122	1
-0.019	0.796	3.3447	0.13902	1
0	0.77	3.554	0.13687	1
0.083	0.657	4.4908	0.12845	1
0.167	0.553	5.4296	0.1216	1
0.25	0.461	6.2628	0.11629	1
0.333	0.38	6.9654	0.11234	1
0.417	0.311	7.5538	0.10949	1
0.5	0.252	8.0538	0.10753	1
0.583	0.202	8.4876	0.10622	1
0.667	0.16	8.8722	0.10539	1
0.75	0.124	9.2194	0.10491	1
0.833	0.092	9.5371	0.10466	1
0.917	0.065	9.8308	0.10459	1
1	0.04	10.1041	0.10464	1
1.083	0.018	10.3595	0.10478	1
1.167	-0.002	10.599	0.10497	1
1.25	-0.02	10.8243	0.10521	1
1.333	-0.037	11.0381	0.10547	1
1.417	-0.053	11.2419	0.10576	1
1.5	-0.067	11.438	0.10606	1
1.583	-0.082	11.6261	0.10637	1
1.667	-0.095	11.8099	0.10669	1
1.75	-0.108	11.989	0.10702	1
1.833	-0.121	12.1651	0.10736	1
1.917	-0.134	12.3399	0.1077	1
2	-0.146	12.514	0.10805	1
2.083	-0.159	12.6891	0.1084	1
2.167	-0.171	12.8639	0.10877	1
2.25	-0.183	13.041	0.10914	1
2.333	-0.196	13.2191	0.10951	1
2.417	-0.209	13.3999	0.10989	1
2.5	-0.221	13.582	0.11028	1
2.583	-0.234	13.7661	0.11066	1
2.667	-0.247	13.9489	0.11105	1
2.75	-0.259	14.133	0.11143	1
2.833	-0.272	14.3141	0.11181	1
2.917	-0.284	14.4939	0.11218	1
3	-0.296	14.67	0.11254	1
3.083	-0.308	14.8421	0.1129	1
3.167	-0.32	15.0109	0.11325	1
3.25	-0.331	15.175	0.11359	1
3.333	-0.342	15.3351	0.11392	1
3.417	-0.353	15.4909	0.11424	1
3.5	-0.364	15.645	0.11457	1
3.583	-0.374	15.7961	0.11488	1
3.667	-0.385	15.9459	0.1152	1
3.75	-0.395	16.096	0.11552	1
3.833	-0.405	16.2451	0.11583	1
3.917	-0.416	16.3969	0.11616	1
4	-0.426	16.551	0.11649	1
4.083	-0.437	16.7081	0.11682	1
4.167	-0.448	16.8689	0.11717	1
4.25	-0.459	17.033	0.11752	1
4.333	-0.471	17.2011	0.11788	1
4.417	-0.482	17.3729	0.11826	1
4.5	-0.494	17.548	0.11864	1
4.583	-0.506	17.7253	0.11903	1
4.667	-0.518	17.9043	0.11942	1
4.75	-0.53	18.086	0.11983	1
4.833	-0.543	18.2673	0.12025	1
4.917	-0.555	18.4507	0.12067	1
5	-0.567	18.633	0.1211	1
5.083	-0.579	18.8143	0.12154	1
5.167	-0.591	18.9942	0.12198	1
5.25	-0.603	19.172	0.12243	1
5.333	-0.615	19.349	0.12289	1
5.417	-0.627	19.5253	0.12335	1
5.5	-0.639	19.701	0.12383	1
5.583	-0.651	19.8767	0.12432	1
5.667	-0.663	20.0523	0.12482	1
5.75	-0.675	20.229	0.12534	1
5.833	-0.687	20.4077	0.12587	1
5.917	-0.699	20.5867	0.12642	1
6	-0.711	20.767	0.12699	1
6.083	-0.723	20.9487	0.12757	1
6.167	-0.735	21.1303	0.12816	1
6.25	-0.748	21.313	0.12877	1
6.333	-0.76	21.4981	0.12939	1
6.417	-0.772	21.6842	0.13003	1
6.5	-0.785	21.872	0.13068	1
6.583	-0.797	22.0621	0.13136	1
6.667	-0.81	22.2549	0.13205	1
6.75	-0.823	22.45	0.13276	1
6.833	-0.836	22.6478	0.13349	1
6.917	-0.849	22.848	0.13425	1
7	-0.861	23.051	0.13502	1
7.083	-0.874	23.2576	0.13581	1
7.167	-0.887	23.4657	0.13662	1
7.25	-0.9	23.676	0.13744	1
7.333	-0.913	23.8873	0.13827	1
7.417	-0.925	24.1001	0.13912	1
7.5	-0.937	24.314	0.13998	1
7.583	-0.949	24.5293	0.14084	1
7.667	-0.961	24.7467	0.14171	1
7.75	-0.972	24.965	0.14259	1
7.833	-0.983	25.1849	0.14346	1
