Age	L	M	S	Gender
-0.134	1	45.05	0.04139	1
-0.115	1	45.91	0.04107	1
-0.096	1	46.76	0.04075	1
-0.077	1	47.62	0.04042	1
-0.057	1	48.48	0.0401	1
-0.038	1	49.34	0.03978	1
-0.019	1	50.19	0.03945	1
0	1	51.04	0.03913	1
0.083	1	54.7	0.03775	1
0.167	1	58.09	0.03649	1
0.25	1	61.07	0.03542	1
0.333	1	63.59	0.03455	1
0.417	1	65.71	0.0339	1
0.5	1	67.49	0.03344	1
0.583	1	69.04	0.03314	1
0.667	1	70.45	0.03297	1
0.75	1	71.78	0.03291	1
0.833	1	73.07	0.03294	1
0.917	1	74.32	0.03301	1
1	1	75.51	0.03313	1
1.083	1	76.65	0.03327	1
1.167	1	77.74	0.03344	1
1.25	1	78.79	0.03362	1
1.333	1	79.81	0.03381	1
1.417	1	80.79	0.03401	1
1.5	1	81.74	0.03422	1
1.583	1	82.66	0.03444	1
1.667	1	83.54	0.03466	1
1.75	1	84.4	0.03489	1
1.833	1	85.22	0.03512	1
1.917	1	86.02	0.03535	1
2	1	86.8	0.03559	1
2.083	1	87.56	0.03582	1
2.167	1	88.31	0.03605	1
2.25	1	89.04	0.03628	1
2.333	1	89.76	0.03651	1
2.417	1	90.49	0.03673	1
2.5	1	91.21	0.03695	1
2.583	1	91.93	0.03716	1
2.667	1	92.65	0.03737	1
2.75	1	93.36	0.03758	1
2.833	1	94.05	0.03778	1
2.917	1	94.74	0.03798	1
3	1	95.41	0.03818	1
3.083	1	96.06	0.03836	1
3.167	1	96.7	0.03854	1
3.25	1	97.32	0.03872	1
3.333	1	97.93	0.0389	1
3.417	1	98.53	0.03906	1
3.5	1	99.11	0.03923	1
3.583	1	99.69	0.03938	1
3.667	1	100.25	0.03953	1
3.75	1	100.81	0.03968	1
3.833	1	101.37	0.03982	1
3.917	1	101.93	0.03995	1
4	1	102.49	0.04008	1
4.083	1	103.06	0.04021	1
4.167	1	103.64	0.04033	1
4.25	1	104.22	0.04045	1
4.333	1	104.8	0.04057	1
4.417	1	105.4	0.04068	1
4.5	1	106	0.04078	1
4.583	1	106.6	0.04089	1
4.667	1	107.21	0.04098	1
4.75	1	107.81	0.04107	1
4.833	1	108.41	0.04115	1
4.917	1	109.01	0.04123	1
5	1	109.59	0.04131	1
5.083	1	110.16	0.04137	1
5.167	1	110.73	0.04144	1
5.25	1	111.28	0.04149	1
5.333	1	111.81	0.04155	1
5.417	1	112.35	0.0416	1
5.5	1	112.87	0.04165	1
5.583	1	113.38	0.0417	1
5.667	1	113.9	0.04174	1
5.75	1	114.41	0.04178	1
5.833	1	114.92	0.04182	1
5.917	1	115.43	0.04186	1
6	1	115.93	0.0419	1
6.083	1	116.44	0.04193	1
6.167	1	116.94	0.04197	1
6.25	1	117.44	0.042	1
6.333	1	117.94	0.04203	1
6.417	1	118.43	0.04206	1
6.5	1	118.93	0.04209	1
6.583	1	119.42	0.04212	1
6.667	1	119.91	0.04216	1
6.75	1	120.41	0.04219	1
6.833	1	120.9	0.04223	1
6.917	1	121.4	0.04227	1
7	1	121.9	0.04231	1
7.083	1	122.4	0.04236	1
7.167	1	122.9	0.0424	1
7.25	1	123.4	0.04245	1
7.333	1	123.9	0.04249	1
7.417	1	124.4	0.04254	1
7.5	1	124.9	0.04259	1
7.583	1	125.4	0.04263	1
7.667	1	125.89	0.04267	1
7.75	1	126.39	0.04272	1
7.833	1	126.87	0.04276	1
7.917	1	127.36	0.0428	1
8	1	127.85	0.04284	1
8.083	1	128.33	0.04289	1
8.167	1	128.8	0.04293	1
8.25	1	129.27	0.04297	1
8.333	1	129.74	0.04302	1
8.417	1	130.19	0.04307	1
8.5	1	130.64	0.04312	1
8.583	1	131.09	0.04318	1
8.667	1	131.54	0.04324	1
8.75	1	131.97	0.0433	1
8.833	1	132.41	0.04337	1
8.917	1	132.84	0.04344	1
9	1	133.28	0.04351	1
9.083	1	133.71	0.04359	1
9.167	1	134.14	0.04367	1
9.25	1	134.57	0.04376	1
9.333	1	134.99	0.04384	1
9.417	1	135.42	0.04394	1
9.5	1	135.84	0.04403	1
9.583	1	136.26	0.04413	1
9.667	1	136.68	0.04423	1
9.75	1	137.1	0.04433	1
9.833	1	137.53	0.04444	1
9.917	1	137.96	0.04456	1
10	1	138.39	0.04468	1
10.083	1	138.82	0.0448	1
10.167	1	139.26	0.04493	1
10.25	1	139.69	0.04506	1
10.333	1	140.12	0.0452	1
10.417	1	140.54	0.04534	1
10.5	1	140.96	0.04548	1
10.583	1	141.37	0.04562	1
10.667	1	141.78	0.04577	1
10.75	1	142.18	0.04592	1
10.833	1	142.58	0.04607	1
10.917	1	142.98	0.04623	1
11	1	143.37	0.04638	1
11.083	1	143.77	0.04654	1
11.167	1	144.16	0.0467	1
11.25	1	144.55	0.04687	1
11.333	1	144.95	0.04704	1
11.417	1	145.34	0.04721	1
11.5	1	145.75	0.04738	1
11.583	1	146.16	0.04755	1
11.667	1	146.58	0.04774	1
11.75	1	147.02	0.04792	1
11.833	1	147.46	0.0481	1
11.917	1	147.91	0.04829	1
12	1	148.36	0.04848	1
12.083	1	148.83	0.04868	1
12.167	1	149.31	0.04887	1
12.25	1	149.81	0.04906	1
12.333	1	150.31	0.04926	1
12.417	1	150.83	0.04945	1
12.5	1	151.35	0.04964	1
12.583	1	151.89	0.04983	1
12.667	1	152.44	0.05001	1
12.75	1	153	0.05019	1
12.833	1	153.58	0.05037	1
12.917	1	154.17	0.05053	1
13	1	154.77	0.05068	1
13.083	1	155.38	0.05083	1
13.167	1	156	0.05095	1
13.25	1	156.63	0.05107	1
13.333	1	157.27	0.05116	1
13.417	1	157.91	0.05123	1
13.5	1	158.55	0.05129	1
13.583	1	159.2	0.05132	1
13.667	1	159.84	0.05133	1
13.75	1	160.47	0.05131	1
13.833	1	161.11	0.05126	1
13.917	1	161.74	0.0512	1
14	1	162.36	0.0511	1
14.083	1	162.97	0.05098	1
14.167	1	163.58	0.05083	1
14.25	1	164.17	0.05065	1
14.333	1	164.75	0.05045	1
14.417	1	165.33	0.05023	1
14.5	1	165.88	0.04998	1
14.583	1	166.43	0.04971	1
14.667	1	166.96	0.04942	1
14.75	1	167.48	0.04912	1
14.833	1	167.98	0.04879	1
14.917	1	168.47	0.04846	1
15	1	168.94	0.04811	1
15.083	1	169.4	0.04776	1
15.167	1	169.84	0.0474	1
15.25	1	170.26	0.04703	1
15.333	1	170.67	0.04666	1
15.417	1	171.06	0.0463	1
15.5	1	171.43	0.04594	1
15.583	1	171.79	0.04558	1
15.667	1	172.14	0.04522	1
15.75	1	172.48	0.04488	1
15.833	1	172.79	0.04454	1
15.917	1	173.1	0.04421	1
16	1	173.39	0.04389	1
16.083	1	173.66	0.04358	1
16.167	1	173.93	0.04328	1
16.25	1	174.18	0.043	1
16.333	1	174.42	0.04273	1
16.417	1	174.64	0.04246	1
16.5	1	174.86	0.04222	1
16.583	1	175.06	0.04198	1
16.667	1	175.25	0.04175	1
16.75	1	175.43	0.04154	1
16.833	1	175.61	0.04134	1
16.917	1	175.77	0.04114	1
17	1	175.92	0.04096	1
17.083	1	176.07	0.04079	1
17.167	1	176.21	0.04063	1
17.25	1	176.33	0.04047	1
17.333	1	176.45	0.04033	1
17.417	1	176.57	0.0402	1
17.5	1	176.67	0.04008	1
17.583	1	176.76	0.03997	1
17.667	1	176.85	0.03987	1
17.75	1	176.92	0.03979	1
17.833	1	176.99	0.03971	1
17.917	1	177.04	0.03964	1
18	1	177.09	0.03958	1
18.083	1	177.13	0.03953	1
18.167	1	177.17	0.03948	1
18.25	1	177.2	0.03945	1
18.333	1	177.23	0.03942	1
18.417	1	177.25	0.0394	1
18.5	1	177.26	0.03938	1
18.583	1	177.27	0.03937	1
18.667	1	177.27	0.03936	1
18.75	1	177.28	0.03936	1
18.833	1	177.28	0.03936	1
18.917	1	177.28	0.03936	1
19	1	177.28	0.03935	1
