Age	L	M	S	Gender
-0.32580424366872	1.147	0.6145	0.15875	1
-0.306639288158795	1.126	0.7142	0.16249	1
-0.287474332648871	1.104	0.8167	0.16628	1
-0.268309377138946	1.083	0.9244	0.17007	1
-0.249144421629021	1.061	1.0364	0.17355	1
-0.229979466119096	1.04	1.1577	0.17663	1
-0.210814510609172	1.018	1.2898	0.17905	1
-0.191649555099247	0.997	1.436	0.18056	1
-0.172484599589322	0.975	1.605	0.18092	1
-0.153319644079398	0.954	1.7993	0.1798	1
-0.134154688569473	0.932	2.0156	0.17703	1
-0.114989733059548	0.911	2.2472	0.17262	1
-0.095824777549624	0.889	2.486	0.16668	1
-0.076659822039699	0.868	2.7257	0.15938	1
-0.057494866529774	0.846	2.9594	0.15117	1
-0.03832991101985	0.825	3.1778	0.14258	1
-0.019164955509925	0.803	3.3769	0.13469	1
0	0.782	3.5551	0.12851	1
0.019164955509925	0.76	3.7172	0.12412	1
0.03832991101985	0.739	3.8702	0.12085	1
0.03832991101985	0.2581	3.7529	0.14142	1
0.057494866529774	0.2442	4.0603	0.13807	1
0.076659822039699	0.2331	4.3671	0.13497	1
0.083333333333333	0.2297	4.4709	0.13395	1
0.095824777549624	0.2237	4.659	0.13215	1
0.114989733059548	0.2155	4.9303	0.1296	1
0.134154688569473	0.2081	5.1817	0.12729	1
0.153319644079398	0.2014	5.4149	0.1252	1
0.166666666666667	0.197	5.5675	0.12385	1
0.172484599589322	0.1952	5.6319	0.1233	1
0.191649555099247	0.1894	5.8346	0.12157	1
0.210814510609172	0.184	6.0242	0.12001	1
0.229979466119096	0.1789	6.2019	0.1186	1
0.249144421629021	0.174	6.369	0.11732	1
0.25	0.1738	6.3762	0.11727	1
0.333333333333333	0.1553	7.0023	0.11316	1
0.416666666666667	0.1395	7.5105	0.1108	1
0.5	0.1257	7.934	0.10958	1
0.583333333333333	0.1134	8.297	0.10902	1
0.666666666666667	0.1021	8.6151	0.10882	1
0.75	0.0917	8.9014	0.10881	1
0.833333333333333	0.082	9.1649	0.10891	1
0.916666666666667	0.073	9.4122	0.10906	1
1	0.0644	9.6479	0.10925	1
1.08333333333333	0.0563	9.8749	0.10949	1
1.16666666666667	0.0487	10.0953	0.10976	1
1.25	0.0413	10.3108	0.11007	1
1.33333333333333	0.0343	10.5228	0.11041	1
1.41666666666667	0.0275	10.7319	0.11079	1
1.5	0.0211	10.9385	0.11119	1
1.58333333333333	0.0148	11.143	0.11164	1
1.66666666666667	0.0087	11.3462	0.11211	1
1.75	0.0029	11.5486	0.11261	1
1.83333333333333	-0.0028	11.7504	0.11314	1
1.91666666666667	-0.0083	11.9514	0.11369	1
2	-0.0137	12.1515	0.11426	1
2	-0.0137	12.1515	0.11426	1
2.08333333333333	-0.0189	12.3502	0.11485	1
2.16666666666667	-0.024	12.5466	0.11544	1
2.25	-0.0289	12.7401	0.11604	1
2.33333333333333	-0.0337	12.9303	0.11664	1
2.41666666666667	-0.0385	13.1169	0.11723	1
2.5	-0.0431	13.3	0.11781	1
2.58333333333333	-0.0476	13.4798	0.11839	1
2.66666666666667	-0.052	13.6567	0.11896	1
2.75	-0.0564	13.8309	0.11953	1
2.83333333333333	-0.0606	14.0031	0.12008	1
2.91666666666667	-0.0648	14.1736	0.12062	1
3	-0.0689	14.3429	0.12116	1
3.08333333333333	-0.0729	14.5113	0.12168	1
3.16666666666667	-0.0769	14.6791	0.1222	1
3.25	-0.0808	14.8466	0.12271	1
3.33333333333333	-0.0846	15.014	0.12322	1
3.41666666666667	-0.0883	15.1813	0.12373	1
3.5	-0.092	15.3486	0.12425	1
3.58333333333333	-0.0957	15.5158	0.12478	1
3.66666666666667	-0.0993	15.6828	0.12531	1
3.75	-0.1028	15.8497	0.12586	1
3.83333333333333	-0.1063	16.0163	0.12643	1
3.91666666666667	-0.1097	16.1827	0.127	1
4	-0.1131	16.3489	0.12759	1
4	-0.426	16.551	0.11649	1
4.083	-0.437	16.7081	0.11682	1
4.167	-0.448	16.8689	0.11717	1
4.25	-0.459	17.033	0.11752	1
4.333	-0.471	17.2011	0.11788	1
4.417	-0.482	17.3729	0.11826	1
4.5	-0.494	17.548	0.11864	1
4.583	-0.506	17.7253	0.11903	1
4.667	-0.518	17.9043	0.11942	1
4.75	-0.53	18.086	0.11983	1
4.833	-0.543	18.2673	0.12025	1
4.917	-0.555	18.4507	0.12067	1
5	-0.567	18.633	0.1211	1
5.083	-0.579	18.8143	0.12154	1
5.167	-0.591	18.9942	0.12198	1
